YDR418W YFR031C-A
YLR438C-A YOR319W
YJR007W YOR260W
YGR076C YMR193W
YER110C YLR208W
YGR214W YMR116C
YOL040C YPL090C
YCR042C YPL082C
YDR485C YOR244W
YDR190C YGL112C
YBR251W YDR347W
YML065W YNL261W
YMR227C YOR174W
YDR159W YNL189W
YOR151C YPR190C
YIL115C YKR082W
YML041C YNL136W
YBR084C-A YGL147C
YNL049C YPR181C
YFR032C-A YNL069C
YDR237W YDR322W
YGR104C YMR033W
YDR471W YLR406C
YBR122C YDR322W
YGR033C YJL104W
YBR253W YPR034W
YGR118W YJL191W
YGL100W YMR129W
YAL011W YHR090C
YIL046W YJL204C
YFL039C YGR005C
YGL019W YML069W
YHR147C YNL005C
YKR082W YPL125W
YDR448W YHR090C
YOR141C YOR290C
YDL081C YLR448W
YKL196C YPL232W
YNR049C YOL018C
YGR074W YLR147C
YKL002W YLR025W
YIL042C YIL125W
YHR165C YPL178W
YGL030W YNL069C
YGR275W YKR008W
YGR091W YMR268C
YIL021W YOR116C
YBL006C YGR056W
YGR275W YPL082C
YJR145C YMR230W
YBR198C YDR448W
YDL232W YMR149W
YCR031C YLR264W
YBR257W YDR478W
YDL155W YGR109C
YBR055C YKL012W
YBR055C YML046W
YGR238C YHR158C
YBR189W YMR230W
YHR051W YNL052W
YBL052C YER022W
YJR022W YLR147C
YBR193C YMR112C
YDL007W YDR394W
YDL075W YDL136W
YOL127W YOR063W
YDR159W YOL072W
YIL084C YJR094C
YGL151W YPR034W
YGR148C YIL018W
YDR255C YIL097W
Q0275 YGL187C
YGL129C YPL118W
YHR083W YOL009C
YGL189C YOL040C
YFR036W YLR102C
YBR048W YLR441C
YDR176W YNL136W
YDR298C YLR295C
YHL019C YLR170C
YDR240C YLR116W
YHR165C YKL173W
YFL039C YLR071C
YDR447C YMR230W
YBR048W YDR064W
YDR192C YDR335W
YDR211W YJR007W
YBR282W YDR116C
YNL328C YOR232W
YIL061C YMR288W
YHL033C YJL177W
YBL093C YOR064C
YLR015W YPR107C
YLL006W YNL026W
YGL090W YOR005C
YOR312C YPL143W
YGL150C YGL151W
YDR382W YOR063W
YGL112C YPL016W
YBR202W YMR048W
YER074W YIL069C
YML092C YOR259C
YBR253W YMR236W
YFR032C-A YGR034W
YGR005C YHR041C
YLL045C YOL127W
YDR159W YJR042W
YER148W YLR055C
YEL020W-A YHR005C-A
YDL130W YLR340W
