p1,p2,score
YLR003C,YLR186W,0.54847104749512
YNR016C,YPR110C,0.833376047487469
YBR017C,YNL016W,0.660028449502134
YOR187W,YPL259C,0.852119274942154
YLL011W,YNL132W,0.983610091574613
YGR092W,YOR276W,0.669323604690042
YER133W,YOR117W,0.53606884449893
YKR031C,YNL118C,0.684036878315825
YER006W,YMR242C,0.54847104749512
YBR002C,YDL052C,0.703072689507346
YBR081C,YMR049C,0.669323604690042
YPL038W,YPR154W,0.635228910294981
YFR004W,YGL245W,0.53606884449893
YER012W,YFR052W,0.999968548438584
YGR085C,YPL093W,0.836115707810694
YER029C,YLR438C-A,0.926827203451423
YJL141C,YPL203W,0.894490624887894
YDR485C,YNL107W,0.998523686717514
YDR385W,YMR083W,0.836115707810694
YDR214W,YHR030C,0.852119274942154
YBR169C,YKL049C,0.53606884449893
YDL229W,YGL207W,0.890653121584812
YML065W,YNL064C,0.669323604690042
YER029C,YGL128C,0.92396897095614
YGR034W,YOL040C,0.836115707810694
YHR082C,YML025C,0.852119274942154
YLR423C,YPL268W,0.682167453566882
YCR036W,YFR004W,0.53606884449893
YHL024W,YOL100W,0.525804493017608
YEL030W,YIL095W,0.852119274942154
YNL189W,YOR155C,0.67234615284868
YDR460W,YLR005W,0.928783321004284
YDR238C,YGL203C,0.553422680851517
YNL307C,YPL240C,0.53606884449893
YIL019W,YLR186W,0.669323604690042
YFR004W,YGL054C,0.53606884449893
YDL116W,YPR080W,0.53606884449893
YHR010W,YJR123W,0.54847104749512
YHR072W,YLR056W,0.907698046593483
YIL078W,YKL198C,0.852119274942154
YDR130C,YIL002W-A,0.660028449502134
YJR145C,YOR204W,0.836115707810694
YDR227W,YOR191W,0.682167453566882
YHR197W,YIL177C,0.584984984984985
YCR081W,YDR448W,0.54847104749512
YER151C,YNL248C,0.753242918792004
YER036C,YOR310C,0.53606884449893
YBR114W,YHR183W,0.852119274942154
YDL213C,YFR032C,0.786182747552049
YBR058C,YLR377C,0.53606884449893
YBL105C,YPR165W,0.994221129260456
YBR089C-A,YLR033W,0.861356321701401
YHR203C,YJR002W,0.54847104749512
YPL070W,YPR119W,0.852119274942154
YGL055W,YPL240C,0.610333975634579
YJR123W,YLR287C-A,0.836115707810694
YCL018W,YLL039C,0.53606884449893
YBL027W,YGL030W,0.836115707810694
YDL176W,YGL227W,0.7468870303556
YCR084C,YMR012W,0.721967550772767
YDL229W,YPL022W,0.890653121584812
YEL042W,YPL094C,0.682167453566882
YGL229C,YJL178C,0.786182747552049
YGR217W,YLL039C,0.53606884449893
YJL014W,YLR055C,0.832002620755503
YDR238C,YKL049C,0.53606884449893
YGL027C,YML058W-A,0.703072689507346
YFR034C,YOL004W,0.669323604690042
YPL178W,YPL213W,0.784767882955442
YIL021W,YOR151C,0.999999872263251
YDR510W,YJL074C,0.842276605740035
YER008C,YIL068C,0.985651702163765
YGL123W,YNL298W,0.669323604690042
YER082C,YJR089W,0.796256143327102
YML069W,YNL102W,0.660028449502134
YBR065C,YLR117C,0.990956474342312
YHL001W,YLL045C,0.836115707810694
YJL072C,YKL060C,0.584984984984985
YKL078W,YNL186W,0.951338277888237
YDR284C,YGL006W,0.703072689507346
YDL081C,YGL112C,0.669323604690042
YDL005C,YNL189W,0.873774047657518
YFL024C,YJL098W,0.993029223233816
YER146W,YFL066C,0.684036878315825
YHR094C,YKL051W,0.703072689507346
YDL239C,YHR184W,0.996557361520903
YBR142W,YGL078C,0.660028449502134
YDL060W,YLR441C,0.54847104749512
YEL051W,YGL006W,0.703072689507346
YDR432W,YHR186C,0.53606884449893
YLR305C,YOR355W,0.831452026211997
YFL010C,YNR011C,0.579810484329307
YOR069W,YOR132W,0.999999853543017
YEL013W,YHR094C,0.703072689507346
YBR009C,YMR021C,0.669323604690042
YCR028C,YKL117W,0.742881415725322
YPL129W,YPL203W,0.852119274942154
YDL138W,YJL186W,0.605663741840526
YIR038C,YJL151C,0.788296958861137
YDR260C,YKL022C,0.999963626730698
YBR260C,YOR231W,0.952862168051605
YJL034W,YKL049C,0.53606884449893
YFL016C,YPR152C,0.53606884449893
YBL003C,YGR275W,0.890653121584812
YCL011C,YOR204W,0.859922722080967
YBR142W,YBR194W,0.53606884449893
YLR025W,YPL084W,0.99989631343068
YIL150C,YPR019W,0.85890670186545
YER074W,YHR089C,0.54847104749512
YPL217C,YPR137W,0.974110025300578
YDR499W,YHR164C,0.920584571513722
YGL003C,YKL101W,0.999990969648901
YFL045C,YGL208W,0.852119274942154
YFR028C,YKL001C,0.96987021074913
YHR026W,YPL234C,0.630229419703104
YAL005C,YOR061W,0.890653121584812
YGR195W,YMR128W,0.873774047657518
YDR092W,YKL210W,0.894564096618049
YDR225W,YER110C,0.927842085690009
YGR054W,YMR290C,0.790521651322224
YMR108W,YNL128W,0.852119274942154
YBL050W,YLR026C,0.999200396589507
YDR233C,YLL023C,0.884419344852077
YDR064W,YNL308C,0.859922722080967
YGR090W,YLR223C,0.981058146140306
YLL039C,YMR121C,0.784767882955442
YDR337W,YNR037C,0.836115707810694
YGL044C,YOR250C,0.999959091277193
YBR202W,YMR043W,0.525804493017608
YGL111W,YOR063W,0.99121228385154
YBL050W,YIL084C,0.605663741840526
YMR229C,YNR054C,0.53606884449893
YDL148C,YJR145C,0.974110025300578
YDR418W,YGR285C,0.54847104749512
YLR340W,YLR448W,0.859922722080967
YDR488C,YNR058W,0.852119274942154
YLR026C,YOR327C,0.775138621157712
YDL149W,YJL178C,0.984546399606002
YDR480W,YKL189W,0.682167453566882
YBL030C,YFR004W,0.784767882955442
YER074W,YGL103W,0.957795592557016
YDR044W,YDR077W,0.786182747552049
YJR059W,YKR041W,0.525804493017608
YER125W,YPL117C,0.579810484329307
YBL058W,YDR381W,0.53606884449893
YMR049C,YOL012C,0.53606884449893
YAL035W,YBR031W,0.836115707810694
YJL070C,YKL166C,0.525804493017608
YER151C,YMR116C,0.753242918792004
YHR203C,YJL191W,0.836115707810694
YAL024C,YPR132W,0.53606884449893
YER122C,YFR004W,0.784767882955442
YGR252W,YLL024C,0.6378829547176
YBL102W,YDR414C,0.501079807013215
YBL026W,YLR074C,0.852119274942154
YCR031C,YHL030W,0.53606884449893
YDR308C,YGL127C,0.992501936533833
YGL173C,YHR086W,0.53606884449893
YBR243C,YIR038C,0.682167453566882
YDL182W,YGR252W,0.660028449502134
YBR227C,YKR026C,0.721967550772767
YBL079W,YMR129W,0.784767882955442
YMR236W,YPL082C,0.660028449502134
YBR111W-A,YOL148C,0.99392547825483
YER008C,YJL085W,0.944284003082156
YNL001W,YOL041C,0.852119274942154
YMR291W,YOR089C,0.525804493017608
YMR242C,YNL096C,0.889168054734813
YEL051W,YGR020C,0.99985665621511
YDR450W,YLL036C,0.823939570017432
YOL041C,YOL100W,0.852119274942154
YFR004W,YJL014W,0.784767882955442
YBR296C-A,YLR200W,0.703072689507346
