From	To
P62834	hsa:5906
Q9Y3B2	hsa:51013
P15208	mmu:16337
O08715	mmu:11640
Q980L5	sso:SSO0277
P17413	wsu:WS0832
Q07325	hsa:4283
P28007	sce:YHR089C
P48729	hsa:1452
Q8ZAX1	ype:YPO3660
Q8ZAX1	ypk:y0207
Q8ZAX1	ypm:YP_3886
O80809	ath:AT1G65380
P29131	ecj:JW3904
P29131	eco:b3933
Q06330	hsa:3516
Q969F2	hsa:85409
P28033	mmu:12608
Q15628	hsa:8717
P53986	mmu:20501
Q92575	hsa:23190
Q2HJ86	bta:535605
Q9P055	hsa:51528
P27348	hsa:10971
Q96MW5	hsa:84342
Q15424	hsa:6294
Q38087	vg:1494172
Q96PV0	hsa:8831
P0A953	ecj:JW2320
P0A953	eco:b2323
P63244	hsa:10399
P63140	rno:25336
Q62425	mmu:17992
O35625	mmu:12005
Q9UBD5	hsa:23595
P01587	mmu:12981
P0A415	tel:tsl1013
Q15276	hsa:9135
P0CX39	sce:YBL072C
P0CX39	sce:YER102W
P35916	hsa:2324
P26641	hsa:1937
P38532	mmu:15499
Q7D9D3	mtc:MT0760
Q7D9D3	mtu:Rv0736
P17980	hsa:5702
Q7TMM9	mmu:22151
P01582	mmu:16175
Q543Z1	mmu:11423
Q61501	mmu:13555
P00797	hsa:5972
Q5ZMD1	gga:421932
Q02753	sce:YBR191W
Q9NPY3	hsa:22918
Q8U1R4	pfu:PF1141
P15559	hsa:1728
P08646	dme:Dmel_CG9375
P95989	sso:SSO0071
Q05513	hsa:5590
P20023	hsa:1380
P00451	hsa:2157
P0CX31	sce:YER074W
P0CX31	sce:YIL069C
Q8IXK3	gga:396444
Q8IXK3	hsa:6616
Q8IXK3	mcc:574204
Q8IXK3	mmu:20614
Q8IXK3	rno:25012
P11473	hsa:7421
P43487	hsa:5902
O14893	hsa:8487
P06367	sce:YCR031C
Q8BPB5	mmu:216616
Q0VC48	bta:505645
A3QNQ0	hsa:7048
P62993	hsa:2885
P46527	hsa:1027
Q13952	hsa:4802
Q76RI8	vg:4961447
P15247	mmu:16198
P53667	hsa:3984
P09038	hsa:2247
P24666	hsa:52
P35590	hsa:7075
Q31Y40	sbo:SBO_2465
P06996	ecj:JW2203
P06996	eco:b2215
P07522	rno:25313
P63213	mmu:14702
Q56219	ttj:TTHA0086
Q20758	cel:CELE_F54C9.10
P13501	hsa:6352
P25651	sce:YCR086W
Q8RQE8	ttj:TTHA1812
P03244	vg:2652981
O15169	hsa:8312
P16070	hsa:960
Q9Y2L1	hsa:22894
Q13126	hsa:4507
P05121	hsa:5054
Q9ULZ3	hsa:29108
P00127	sce:YFR033C
P04004	hsa:7448
Q96UP3	spo:SPAC6F6.17
O60313	hsa:4976
Q05320	vg:911829
P01589	hsa:3559
Q86Y07	hsa:7444
P16104	hsa:3014
P09728	vg:3077551
Q4T0V7	tng:GSTEN00009121G001
Q762B6	hsa:538
Q9BZM4	hsa:79465
P25116	hsa:2149
Q0TJD1	ecp:ECP_0933
P31269	hsa:3205
P23769	hsa:2624
Q05586	hsa:2902
D0A9L2	tbg:TbgDal_XI14820
P62316	hsa:6633
P22003	hsa:653
Q99KL7	mmu:100972
P20396	hsa:7200
Q8N684	hsa:79869
P17612	hsa:5566
P09382	hsa:3956
P40879	hsa:1811
O75528	hsa:10474
P09866	vg:5075729
P0CX47	sce:YBR048W
P0CX47	sce:YDR025W
P62994	rno:81504
Q56222	ttj:TTHA0089
Q505F1	mmu:22025
P01887	mmu:12010
P09651	hsa:3178
Q9Y2U5	hsa:10746
P52294	hsa:3836
P64528	mtc:MT3466
P64528	mtu:Rv3358
P03732	vg:2703486
Q13324	hsa:1395
O60674	hsa:3717
P00735	bta:280685
Q16778	hsa:8349
P05412	hsa:3725
Q92851	hsa:843
P0A405	tel:tlr0731
O00220	hsa:8797
P37238	mmu:19016
Q9Z136	rno:60445
Q7L311	hsa:9823
Q9R0T4	rno:83502
P0C2H6	sce:YHR010W
P42208	mmu:18000
P42858	hsa:3064
P17252	hsa:5578
P07948	hsa:4067
Q6WNK7	sce:YBR111W-A
P27701	hsa:3732
O75381	hsa:5195
Q8C2B3	mmu:56233
Q8IUI8	hsa:51379
P05745	sce:YMR194W
Q3T0X5	bta:515503
P62837	hsa:7322
Q99N48	mmu:83672
O15350	hsa:7161
P12977	vg:3783762
P0ABB0	ecj:JW3712
P0ABB0	eco:b3734
Q61391	mmu:17380
Q64704	mmu:20908
Q8BGS1	mmu:226352
P02745	hsa:712
Q9SYQ8	ath:AT1G75820
Q62523	mmu:22793
Q9Q0U7	vg:3654619
Q5E987	bta:510155
P18627	hsa:3902
O08734	mmu:12018
P07437	hsa:203068
P43357	hsa:4102
Q9WV60	mmu:56637
P0A384	ana:alr3421
P37173	hsa:7048
Q03142	mmu:14186
P63001	mmu:19353
Q3E7X9	sce:YOR167C
A7ZSB8	ecw:EcE24377A_3707
Q7Z3T8	hsa:9765
P13987	hsa:966
P00403	hsa:4513
Q09191	spo:SPAC23C4.15
Q99N50	mmu:83671
O15360	hsa:2175
P70195	mmu:19177
Q96NA2	hsa:83547
P35439	rno:24408
Q96TL7	spo:SPBC1778.02
Q49A26	hsa:84656
P0A6E6	ecj:JW3709
P0A6E6	eco:b3731
Q9D666	mmu:77053
P11276	mmu:14268
Q92785	hsa:5977
P23514	rno:114023
Q07817	hsa:598
P84229	gga:100857439
P84229	gga:100858681
P84229	gga:417953
P84229	gga:768333
P84229	gga:769809
P84229	gga:769852
P84229	gga:770022
Q06546	hsa:2551
B5Z8Y5	hpg:HPG27_1286
P08081	rno:83800
O43739	hsa:9265
Q15404	hsa:6251
Q01667	ath:AT3G54890
P08621	hsa:6625
Q15080	hsa:4689
Q9EQW6	mmu:50913
P07358	hsa:732
P27584	spo:SPBC24C6.06
Q5SKH9	ttj:TTHA0664
Q5SH67	ttj:TTHA1863
O74635	spo:SPAPYUG7.04c
P00125	bta:512500
Q99575	hsa:10940
Q97Z84	sso:SSO1047
Q8K1S3	mmu:107449
P63212	bta:281203
P54274	hsa:7013
Q9HB40	hsa:59342
Q05754	rno:25699
Q8N2W9	hsa:51588
P28799	hsa:2896
P38936	hsa:1026
O43541	hsa:4091
P0C0V8	sce:YKR057W
P00441	hsa:6647
Q8TEQ6	hsa:25929
Q8K0S5	mmu:237847
P17839	ath:AT4G18960
Q2TBX6	bta:514237
P08957	ecj:JW4312
P08957	eco:b4349
P02776	hsa:5196
P15385	rno:25469
Q8QHK8	xla:379876
P63329	rno:24674
P21109	ocu:100328622
P15311	hsa:7430
P61829	sce:Q0130
Q8BX09	mmu:213464
Q09028	hsa:5928
P60201	hsa:5354
P20153	dme:Dmel_CG4380
P63045	rno:24803
Q07021	hsa:708
Q92959	hsa:6578
P84233	xla:108695575
P84233	xla:108704298
P84233	xla:108705672
P84233	xla:108716540
P84233	xla:108716541
Q9NNX6	hsa:30835
Q13247	hsa:6431
P00747	hsa:5340
P63146	hsa:7320
P46939	hsa:7402
P02283	dme:Dmel_CG17949
P02283	dme:Dmel_CG33868
P02283	dme:Dmel_CG33870
P02283	dme:Dmel_CG33872
P02283	dme:Dmel_CG33874
P02283	dme:Dmel_CG33876
P02283	dme:Dmel_CG33878
P02283	dme:Dmel_CG33880
P02283	dme:Dmel_CG33882
P02283	dme:Dmel_CG33884
P02283	dme:Dmel_CG33886
P02283	dme:Dmel_CG33888
P02283	dme:Dmel_CG33890
P02283	dme:Dmel_CG33892
P02283	dme:Dmel_CG33894
P02283	dme:Dmel_CG33896
P02283	dme:Dmel_CG33898
P02283	dme:Dmel_CG33900
P02283	dme:Dmel_CG33902
P02283	dme:Dmel_CG33904
P02283	dme:Dmel_CG33906
P02283	dme:Dmel_CG33908
P02283	dme:Dmel_CG33910
P01303	hsa:4852
P25822	dme:Dmel_CG9755
P62937	hsa:5478
Q8DIQ0	tel:tsr1531
Q5SJE9	ttj:TTHA1065
P36046	sce:YKL195W
O14788	hsa:8600
P43351	hsa:5893
Q16828	hsa:1848
Q5RKV6	hsa:118460
G8JZS0	bbu:BB_P38
F1NPG5	gga:415654
P38624	sce:YJL001W
P21274	mmu:12156
Q15910	hsa:2146
Q789F3	gga:693248
O88895	mmu:15183
P0A6F1	ecj:JW0030
P0A6F1	eco:b0032
Q63R49	bps:BPSL2824
P0CG48	hsa:7316
O33245	mtc:MT2170
O33245	mtu:Rv2110c
O00482	hsa:2494
Q9NZQ7	hsa:29126
P19793	hsa:6256
P21796	hsa:7416
P30560	rno:25107
P25697	ath:AT1G32060
P22681	hsa:867
P0A6F5	ecj:JW4103
P0A6F5	eco:b4143
P64093	mtc:MT3104
P64093	mtu:Rv3019c
Q8IUD6	hsa:84282
O08747	mmu:22253
P46108	hsa:1398
Q9W2K2	dme:Dmel_CG4279
O75376	hsa:9611
P32585	sce:YGR104C
P61077	hsa:7323
P58772	ocu:100125989
Q9UBN4	hsa:7223
Q13242	hsa:8683
P47871	hsa:2642
Q91YM2	mmu:232906
Q00597	hsa:2176
P07200	ssc:397078
P52292	hsa:3838
O14733	hsa:5609
P33241	hsa:4046
P35279	mmu:19346
P13647	hsa:3852
O13516	sce:YPL081W
P62259	mmu:22627
Q9UKC9	hsa:25827
P02407	sce:YML024W
Q60692	mmu:19175
Q5SKW1	ttj:TTHA0532
P36594	spo:SPBC28F2.12
Q8TAK5	hsa:126626
P27882	sce:YGR029W
O76064	hsa:9025
Q49AN0	hsa:1408
Q03167	hsa:7049
P61588	mmu:74194
P62500	mmu:21807
Q14746	hsa:22796
Q8CGN5	mmu:103968
P30260	hsa:996
Q14209	hsa:1870
Q9YHT1	gga:395758
Q9SY97	ath:AT1G61520
P52286	sce:YDR328C
P87123	spo:SPAC3A12.07
Q5HF73	sac:SACOL1748
Q6ZNK6	hsa:497189
Q62725	rno:25337
P46063	hsa:5965
Q9H2X6	hsa:28996
Q80X44	mmu:268294
Q9Y6D9	hsa:8379
P16861	sce:YGR240C
P49069	hsa:819
O88634	mmu:14065
P00709	hsa:3906
Q9D2U9	mmu:78303
Q16891	hsa:10989
P62308	hsa:6637
Q7Y3F3	vg:1489934
