Name	Accession	Name	Accession	Score
EPHB2	IPI00021275	EPHA7	IPI00016645	7838.05
CDC7	IPI00448121	MCM4	IPI00018349	7830.9
ERBB2	IPI00300384	SHC3	IPI00409679	7701.8
SNAP23	IPI00010438	VAMP2	IPI00553138	7641.1
MSH2	IPI00017303	MSH6	IPI00384456	7594.325
SNAP23	IPI00010438	SNAP25	IPI00010470	7505.7
RANBP5	IPI00329200	KPNB1	IPI00001639	7473.175
MCM5	IPI00018350	CDC6	IPI00014575	7473.175
TAF5	IPI00298925	TAF9	IPI00002993	7473.175
STAT5A	IPI00030783	GRAP	IPI00013864	7293.15
HGS	IPI00006176	CLTC	IPI00024067	7127.7
NCK2	IPI00306531	CBL	IPI00027269	7068.75
ZAP70	IPI00329789	K-ALPHA-1	IPI00387144	7068.75
VAMP3	IPI00549343	STX1A	IPI00003370	7032.6
EIF5	IPI00022648	EIF3S9	IPI00396370	7032.475
PROC	IPI00021817	SERPIND1	IPI00292950	7016.375
ABCD3	IPI00002372	ABCD1	IPI00291373	6828.575
EPAS1	IPI00294084	HIF1A	IPI00003442	6828.575
PTPN2	IPI00219695	STAT1	IPI00030781	6789.15
WASL	IPI00011676	WAS	IPI00001545	6704.35
CSF1R	IPI00011218	SHC3	IPI00409679	6629.275
STAT5A	IPI00030783	PRKCE	IPI00024539	6596.15
PRKCA	IPI00385449	MAPK3	IPI00018195	6528.6
PTPN2	IPI00219695	MAPK3	IPI00018195	6517.575
EPHB3	IPI00289329	EPHA4	IPI00008318	6499.475
CDC25A	IPI00220981	PLK1	IPI00021248	6488.45
KIT	IPI00022296	SHC3	IPI00409679	6363.4
PRKCG	IPI00007128	PRKCI	IPI00016639	6348.975
EPHA2	IPI00021267	EPHB2	IPI00021275	6348.975
RANBP1	IPI00414127	RAN	IPI00643041	6346.125
PROC	IPI00021817	SERPINC1	IPI00032179	6285.5
PRKCE	IPI00024539	GRIN2A	IPI00029768	6256.125
ZAP70	IPI00329789	SHC3	IPI00409679	6155.525
WASL	IPI00011676	ACTB	IPI00021440	6138.875
BRAF	IPI00303797	MAP2K1	IPI00219604	6086.025
F10	IPI00019576	SERPINF2	IPI00029863	6039.3
PROC	IPI00021817	SERPINF2	IPI00029863	6039.3
STAT5A	IPI00030783	HDAC1	IPI00013774	6012.7
HLA-B	IPI00004657	HLA-A	IPI00647634	5986.8
HLA-B	IPI00004657	HLA-C	IPI00642409	5986.8
HLA-B	IPI00004657	HLA-G	IPI00015988	5986.8
HLA-A	IPI00647634	HLA-C	IPI00642409	5986.8
HLA-A	IPI00647634	HLA-G	IPI00015988	5986.8
HLA-C	IPI00642409	HLA-G	IPI00015988	5986.8
HGFAC	IPI00029193	SERPINC1	IPI00032179	5986.8
HGFAC	IPI00029193	SERPIND1	IPI00292950	5986.8
VIL2	IPI00479359	ZAP70	IPI00329789	5976.075
VAMP3	IPI00549343	STX12	IPI00329332	5967.375
TBP	IPI00022831	TAF12	IPI00002806	5848.45
SMAD3	IPI00024305	CREBBP	IPI00023339	5757.05
SMAD2	IPI00019548	GCN5L2	IPI00306871	5757.05
VAMP4	IPI00299667	SNAP25	IPI00010470	5700.675
EEF1B2	IPI00178440	EEF1G	IPI00000875	5696.575
HCLS1	IPI00026156	NCK1	IPI00028065	5635.4
MCM3	IPI00013214	CCNB1	IPI00294696	5635.4
WASPIP	IPI00552369	FGR	IPI00016871	5622.2
NCK1	IPI00028065	WAS	IPI00001545	5622.2
KDR	IPI00021396	SHC3	IPI00409679	5607.075
JUN	IPI00008965	JUNB	IPI00013439	5601.6
PRKCG	IPI00007128	PLCB3	IPI00010400	5594.35
CRYAA	IPI00021062	CRYAB	IPI00021369	5531.5
FOS	IPI00033008	JUNB	IPI00013439	5360.875
SERPING1	IPI00291866	HP	IPI00641737	5153.1
COPE	IPI00465132	COPA	IPI00295857	5152.275
H2AFX	IPI00219037	PCAF	IPI00022055	5103.075
ACTR3	IPI00028091	ACTG1	IPI00005159	5051.075
RBBP4	IPI00328319	HDAC1	IPI00013774	5008.95
EGFR	IPI00018274	ERBB3	IPI00298285	4989.025
SMAD2	IPI00019548	SMAD1	IPI00019549	4989.025
PRKCG	IPI00007128	PRKCA	IPI00385449	4977.675
FIGF	IPI00004653	KDR	IPI00021396	4862.45
HCK	IPI00029769	HCLS1	IPI00026156	4850.625
DAB1	IPI00026889	PRKCA	IPI00385449	4840.725
CSF1R	IPI00011218	EPHB2	IPI00021275	4840.725
