Name	Accession	Name	Accession	Score
NCK2	IPI00306531	BCAR1	IPI00011998	19.1836999511719
NCK2	IPI00306531	IKBKE	IPI00029045	19.1836999511719
NRAS	IPI00000006	RASGRP3	IPI00171874	19.1836999511719
FYN	IPI00219012	BCAR1	IPI00011998	19.1836999511719
EPB41	IPI00003921	YWHAB	IPI00216318	19.1836999511719
NOS2A	IPI00017304	CAV1	IPI00009236	19.1836999511719
BCAR1	IPI00011998	PTK2	IPI00012885	19.1836999511719
OXT	IPI00000144	AVP	IPI00000158	19.1675
CD74	IPI00217775	HLA-DRA	IPI00464948	19.1675
PLD2	IPI00024727	ACTB	IPI00021440	19.1547998046875
EPHA2	IPI00021267	EFNB3	IPI00019501	19.1470495605469
EPHB2	IPI00021275	EFNA3	IPI00005123	19.1470495605469
EFNA4	IPI00005125	EPHB3	IPI00289329	19.1470495605469
PRKCG	IPI00007128	AVPR2	IPI00026823	19.1440747070313
PRKCG	IPI00007128	GRIN2A	IPI00029768	19.1440747070313
PECAM1	IPI00295618	SYK	IPI00018597	19.1410754394531
SMAD3	IPI00024305	NOTCH2	IPI00297655	19.1298754882813
IKBKB	IPI00024709	RIPK1	IPI00013773	19.1093249511719
RB1	IPI00302829	CDK2	IPI00031681	19.1093249511719
XRCC1	IPI00002564	HDAC1	IPI00013774	19.1093249511719
TYK2	IPI00022353	PRKDC	IPI00296337	19.1093249511719
YWHAB	IPI00216318	IRS2	IPI00464978	19.1093249511719
PRKDC	IPI00296337	BTK	IPI00029132	19.1093249511719
PRKDC	IPI00296337	WRN	IPI00029107	19.1093249511719
GTF2B	IPI00022820	BATF	IPI00007422	19.1093249511719
TRADD	IPI00018744	MAP3K14	IPI00016099	19.1093249511719
MLL2	IPI00297859	JUN	IPI00008965	19.101474609375
MLL2	IPI00297859	JUNB	IPI00013439	19.101474609375
LAT	IPI00012888	PDGFRB	IPI00015902	19.101474609375
PLG	IPI00019580	CSF3	IPI00018306	19.101474609375
FOS	IPI00033008	TCF20	IPI00159322	19.101474609375
FOS	IPI00033008	ZNF295	IPI00008137	19.101474609375
RAF1	IPI00021786	CASP9	IPI00023875	19.101474609375
JUN	IPI00008965	NFATC3	IPI00030369	19.101474609375
INSR	IPI00025803	CCR2	IPI00015137	19.101474609375
FYN	IPI00219012	MGMT	IPI00028618	19.101474609375
CSF1R	IPI00011218	PLAUR	IPI00010676	19.101474609375
CHRM2	IPI00027473	TBXA2R	IPI00010309	19.101474609375
CHRM2	IPI00027473	EDNRB	IPI00029123	19.101474609375
PDGFRB	IPI00015902	CCR2	IPI00015137	19.101474609375
PDGFRB	IPI00015902	PLAUR	IPI00010676	19.101474609375
KIT	IPI00022296	PLAUR	IPI00010676	19.101474609375
BRAF	IPI00303797	CASP9	IPI00023875	19.101474609375
FOSL2	IPI00011593	TCF20	IPI00159322	19.101474609375
FOSL2	IPI00011593	ZNF295	IPI00008137	19.101474609375
PDGFRA	IPI00027721	OPTC	IPI00002678	19.101474609375
JUNB	IPI00013439	NFATC3	IPI00030369	19.101474609375
FLT1	IPI00018335	PLAUR	IPI00010676	19.101474609375
FLT1	IPI00018335	ADAM15	IPI00013302	19.101474609375
MCM3	IPI00013214	SF1	IPI00386114	19.101474609375
MAP2K2	IPI00003783	IL6ST	IPI00297124	19.101474609375
MAP2K2	IPI00003783	MAPK10	IPI00023547	19.101474609375
MAP2K2	IPI00003783	ABI1	IPI00431025	19.101474609375
STAT1	IPI00030781	SAFB	IPI00300631	19.101474609375
STAT1	IPI00030781	H1FX	IPI00021924	19.101474609375
HIST1H4A	IPI00453473	TLE3	IPI00219368	19.101474609375
RPA1	IPI00020127	DDX46	IPI00329791	19.0805004882812
RFC1	IPI00375359	PRKDC	IPI00296337	19.0805004882812
CCNF	IPI00297860	CDC6	IPI00014575	19.0805004882812
SMARCA4	IPI00293426	CBX1	IPI00010320	19.0805004882812
CBX1	IPI00010320	TRIM28	IPI00438229	19.0805004882812
RELB	IPI00221034	NFKBIE	IPI00414656	19.0805004882812
ATF1	IPI00002501	STAT6	IPI00030782	19.0469494628906
WASPIP	IPI00552369	SH2D1A	IPI00032401	19.0357995605469
JAK2	IPI00031016	NMI	IPI00012450	19.0357995605469
FOSL2	IPI00011593	NFIL3	IPI00290562	19.0357995605469
RFC5	IPI00031514	BRCA2	IPI00412408	19.0357995605469
RFC3	IPI00031521	BRCA2	IPI00412408	19.0357995605469
STAT5A	IPI00030783	NMI	IPI00012450	19.0357995605469
LSM6	IPI00001146	WDR8	IPI00293015	19.0357995605469
SNRPD3	IPI00017964	WDR8	IPI00293015	19.0357995605469
F2	IPI00019568	KITLG	IPI00009450	19.0277502441406
F9	IPI00296176	OPTC	IPI00002678	19.0277502441406
C1QC	IPI00022394	APOH	IPI00298828	19.0277502441406
PROC	IPI00021817	THPO	IPI00218254	19.0277502441406
KHDRBS1	IPI00008575	STAT3	IPI00298887	19.0277502441406
STAT1	IPI00030781	EP300	IPI00478752	18.9592004394531
CALM2	IPI00075248	RAC1	IPI00219675	18.9592004394531
APS	IPI00155706	NCK1	IPI00028065	18.9309252929688
PLD2	IPI00024727	ACTR3	IPI00028091	18.9309252929688
PLD2	IPI00024727	CCT2	IPI00297779	18.9309252929688
HDAC3	IPI00006187	MEF2C	IPI00289092	18.9309252929688
NCAM2	IPI00376427	FLT1	IPI00018335	18.9309252929688
FOXO3A	IPI00012856	CREBBP	IPI00023339	18.9309252929688
FRS3	IPI00009089	MAP2K2	IPI00003783	18.9309252929688
STAM2	IPI00290542	VAV1	IPI00011696	18.9309252929688
STAM2	IPI00290542	PTPN12	IPI00289082	18.9309252929688
STAM2	IPI00290542	EHD1	IPI00017184	18.9309252929688
RAF1	IPI00021786	RIN1	IPI00014454	18.9309252929688
MYCN	IPI00022372	SSRP1	IPI00005154	18.9309252929688
ERBB2	IPI00300384	CSF1R	IPI00011218	18.9309252929688
ERBB2	IPI00300384	TNC	IPI00031008	18.9309252929688
JUN	IPI00008965	HSF1	IPI00024071	18.9309252929688
INSR	IPI00025803	KDR	IPI00021396	18.9309252929688
SP1	IPI00465152	SP3	IPI00025807	18.9309252929688
PDGFRB	IPI00015902	FGFR4	IPI00304578	18.9309252929688
FGR	IPI00016871	PSKH1	IPI00007810	18.9309252929688
H2AFX	IPI00219037	CTDP1	IPI00410256	18.9309252929688
HOXB6	IPI00015075	GCN5L2	IPI00306871	18.9309252929688
CEBPB	IPI00289773	MAPK3	IPI00018195	18.9309252929688
CEBPB	IPI00289773	HSF1	IPI00024071	18.9309252929688
FLT1	IPI00018335	PTPRB	IPI00295577	18.9309252929688
MAPK3	IPI00018195	JAK1	IPI00011633	18.9309252929688
EPHB2	IPI00021275	PTPRB	IPI00295577	18.9309252929688
YWHAB	IPI00216318	PRKCZ	IPI00013749	18.9309252929688
MAP2K2	IPI00003783	SH3BP5	IPI00006776	18.9309252929688
PRKCI	IPI00016639	RPS6KB2	IPI00217069	18.9309252929688
STAT5A	IPI00030783	CDK5	IPI00023530	18.9309252929688
GRIA4	IPI00007632	GRIK2	IPI00011396	18.9309252929688
PIK3CG	IPI00292690	RIN1	IPI00014454	18.9309252929688
CSNK1E	IPI00027729	STAT5B	IPI00103415	18.9309252929688
CCNH	IPI00021305	CDC6	IPI00014575	18.9309252929688
SOS1	IPI00020131	HIPK3	IPI00099522	18.9309252929688
STK4	IPI00011488	RIN1	IPI00014454	18.9309252929688
ATM	IPI00298306	BARD1	IPI00017746	18.9309252929688
GCN5L2	IPI00306871	CDX2	IPI00016928	18.9309252929688
VAV1	IPI00011696	FNBP1	IPI00102670	18.8194995117187
NCK1	IPI00028065	FNBP1	IPI00102670	18.8194995117187
TIAL1	IPI00005615	PABPC4	IPI00012726	18.8194995117187
ARPC1B	IPI00005160	PSTPIP1	IPI00022606	18.8115502929688
HLA-A	IPI00647634	WAS	IPI00001545	18.8115502929688
GNB2L1	IPI00641950	PCBP2	IPI00216689	18.8115502929688
ZCCHC8	IPI00556594	RBM7	IPI00001134	18.7843505859375
HIST1H3A	IPI00465070	ASF1B	IPI00041127	18.7800244140625
DSCAM	IPI00029700	PLCL1	IPI00006660	18.7773999023437
PTPN2	IPI00219695	CSNK2A2	IPI00020602	18.7773999023437
ADPRT	IPI00449049	MRE11A	IPI00029159	18.7706994628906
EIF5B	IPI00299254	EIF3S4	IPI00290460	18.760849609375
JAK2	IPI00031016	CTDP1	IPI00410256	18.7307250976563
RAF1	IPI00021786	CSF1R	IPI00011218	18.7307250976563
ACTG1	IPI00021439	SSH1	IPI00103742	18.7307250976563
PDGFRB	IPI00015902	GNAI1	IPI00337415	18.674775390625
PROC	IPI00021817	F7	IPI00329555	18.6543994140625
STAT1	IPI00030781	EWSR1	IPI00009841	18.6543994140625
HCK	IPI00029769	GRAP	IPI00013864	18.6190747070312
TCF3	IPI00013929	MYF6	IPI00011548	18.6190747070312
KCNJ5	IPI00298865	KCNJ9	IPI00294849	18.6190747070312
PDK2	IPI00014832	DLAT	IPI00604707	18.6190747070312
CLEC3B	IPI00009028	SERPINF2	IPI00029863	18.6186999511719
FIGF	IPI00004653	TGFA	IPI00465177	18.6168249511719
JAK2	IPI00031016	CD5	IPI00025383	18.6168249511719
JAK2	IPI00031016	MAG	IPI00026237	18.6168249511719
JAK2	IPI00031016	SLAMF1	IPI00012469	18.6168249511719
CSH2	IPI00000889	PDGFRB	IPI00015902	18.6168249511719
CD4	IPI00003983	ZAP70	IPI00329789	18.6168249511719
PDGFA	IPI00021833	PDGFRB	IPI00015902	18.6168249511719
S100B	IPI00299399	KIT	IPI00022296	18.6168249511719
S100B	IPI00299399	PDGFRA	IPI00027721	18.6168249511719
CD1A	IPI00025382	TEC	IPI00000878	18.6168249511719
INSR	IPI00025803	S100A3	IPI00016752	18.6168249511719
INSR	IPI00025803	SPTA1	IPI00220741	18.6168249511719
CSF1R	IPI00011218	ACP1	IPI00219861	18.6168249511719
CXCL1	IPI00013874	PDGFRB	IPI00015902	18.6168249511719
PDGFRB	IPI00015902	LIF	IPI00009720	18.6168249511719
PDGFRB	IPI00015902	S100A11	IPI00013895	18.6168249511719
PDGFRB	IPI00015902	CXCL5	IPI00292936	18.6168249511719
PDGFRB	IPI00015902	IRS4	IPI00020729	18.6168249511719
KIT	IPI00022296	IRS1	IPI00019471	18.6168249511719
KIT	IPI00022296	GAB1	IPI00031068	18.6168249511719
KIT	IPI00022296	CNN3	IPI00216682	18.6168249511719
NCAM1	IPI00435020	ZAP70	IPI00329789	18.6168249511719
IL2RB	IPI00027510	STAT5A	IPI00030783	18.6168249511719
PDGFRA	IPI00027721	S100A3	IPI00016752	18.6168249511719
SELE	IPI00296542	EFNB2	IPI00005126	18.6168249511719
IFNAR1	IPI00012877	STAT5A	IPI00030783	18.6168249511719
IFNAR1	IPI00012877	EFNB2	IPI00005126	18.6168249511719
MAG	IPI00026237	IQGAP1	IPI00009342	18.6168249511719
MPL	IPI00027637	STAT5A	IPI00030783	18.6168249511719
STAT5A	IPI00030783	IL12RB2	IPI00438855	18.6168249511719
TEC	IPI00000878	CCR5	IPI00023213	18.6168249511719
ZAP70	IPI00329789	CSF2RB	IPI00465234	18.6168249511719
CRKL	IPI00004839	CEBPA	IPI00292025	18.6168249511719
CRKL	IPI00004839	ALCAM	IPI00015102	18.6168249511719
STAT5B	IPI00103415	SPTA1	IPI00220741	18.6168249511719
DHX16	IPI00552073	LSM3	IPI00219229	18.5893249511719
RAF1	IPI00021786	RPS6KA3	IPI00020898	18.5192248535156
GRIA1	IPI00030880	APBA2	IPI00017817	18.5192248535156
NR3C1	IPI00022282	TCF3	IPI00013929	18.5024255371094
NR3C1	IPI00022282	RELA	IPI00386448	18.5024255371094
RB1	IPI00302829	ADRBK1	IPI00012497	18.5024255371094
ID2	IPI00294210	CREBBP	IPI00023339	18.5024255371094
PES1	IPI00003768	EIF4A1	IPI00025491	18.501650390625
PES1	IPI00003768	DDX18	IPI00301323	18.501650390625
HNRPR	IPI00012074	BAT1	IPI00328343	18.501650390625
EIF2S1	IPI00219678	EIF4A1	IPI00025491	18.501650390625
SNRPA	IPI00012382	SNRPA1	IPI00297477	18.501650390625
KIAA0117	IPI00181617	IEF-SSP-9502	IPI00014298	18.501650390625
KIAA0117	IPI00181617	DDX18	IPI00301323	18.501650390625
EIF3S9	IPI00396370	BOP1	IPI00028955	18.501650390625
EIF4A1	IPI00025491	DDX49	IPI00003739	18.501650390625
P4HB	IPI00010796	CALR	IPI00020599	18.4798754882813
ACTN2	IPI00019884	LMCD1	IPI00303258	18.4798754882813
SP2	IPI00333077	HDAC1	IPI00013774	18.4798754882813
RANBP5	IPI00329200	CSE1L	IPI00022744	18.4719494628906
RAD23A	IPI00008219	UBADC1	IPI00305442	18.4719494628906
ARVCF	IPI00010490	JUP	IPI00554711	18.4356494140625
PRKCG	IPI00007128	TAGLN2	IPI00550363	18.4356494140625
STAT6	IPI00030782	PPP2CB	IPI00429689	18.4356494140625
SOCS3	IPI00297349	STAT2	IPI00004312	18.4291748046875
CD3D	IPI00022934	TXK	IPI00000879	18.4291748046875
ADRB2	IPI00465066	RGS2	IPI00013177	18.4291748046875
CD3E	IPI00012923	STAT5A	IPI00030783	18.4291748046875
CD3E	IPI00012923	SLA	IPI00009499	18.4291748046875
FGR	IPI00016871	CSF2RB	IPI00465234	18.4291748046875
CD28	IPI00022339	ZAP70	IPI00329789	18.4291748046875
CD79A	IPI00008473	VAV1	IPI00011696	18.4291748046875
CD79A	IPI00008473	LYN	IPI00298625	18.4291748046875
ICAM2	IPI00009477	ROCK1	IPI00022542	18.4291748046875
IL2RB	IPI00027510	VAV1	IPI00011696	18.4291748046875
IL2RB	IPI00027510	CSK	IPI00013212	18.4291748046875
IL2RB	IPI00027510	LCK	IPI00394952	18.4291748046875
VAV1	IPI00011696	STAT2	IPI00004312	18.4291748046875
PTPN1	IPI00297261	LYN	IPI00298625	18.4291748046875
CD22	IPI00295133	BLNK	IPI00002434	18.4291748046875
IL8RB	IPI00012320	RGS19	IPI00028108	18.4291748046875
RGS2	IPI00013177	PTGIR	IPI00016317	18.4291748046875
CSK	IPI00013212	CSF2RB	IPI00465234	18.4291748046875
ZAP70	IPI00329789	CCR5	IPI00023213	18.4291748046875
RGS19	IPI00028108	CCR5	IPI00023213	18.4291748046875
CXCR4	IPI00028159	BTK	IPI00029132	18.4291748046875
SH3BP2	IPI00219071	CSF2RB	IPI00465234	18.4291748046875
BTK	IPI00029132	IL10RA	IPI00014417	18.4291748046875
BTK	IPI00029132	CSF2RB	IPI00465234	18.4291748046875
SOS1	IPI00020131	LCK	IPI00394952	18.4291748046875
BLNK	IPI00002434	CSF2RB	IPI00465234	18.4291748046875
ACTN4	IPI00013808	GRIA1	IPI00030880	18.3416247558594
LMNA	IPI00021405	PLCB1	IPI00219563	18.3416247558594
FYN	IPI00219012	GRIA1	IPI00030880	18.3416247558594
MAP2K2	IPI00003783	PLK1	IPI00021248	18.3416247558594
STAT1	IPI00030781	PPP2CB	IPI00429689	18.3416247558594
F2	IPI00019568	PZP	IPI00025426	18.3208996582031
F9	IPI00296176	CXCL9	IPI00016534	18.3208996582031
APOH	IPI00298828	PROS1	IPI00294004	18.3208996582031
PROS1	IPI00294004	ALB	IPI00022434	18.3208996582031
WASL	IPI00011676	CSNK2A2	IPI00020602	18.3207751464844
HIST1H2BO	IPI00152785	HIST1H2AC	IPI00216456	18.3207751464844
NR3C1	IPI00022282	PPID	IPI00003927	18.300849609375
ZNF638	IPI00470596	EPRS	IPI00013452	18.300849609375
IL3	IPI00030336	IL3RA	IPI00003058	18.2307495117187
CDH7	IPI00297181	APC2	IPI00025190	18.2307495117187
F2	IPI00019568	NOG	IPI00012361	18.2165502929688
F9	IPI00296176	NOG	IPI00012361	18.2165502929688
MCM3	IPI00013214	MAP2K3	IPI00220438	18.2077502441406
TOM1L1	IPI00023186	STAM	IPI00020178	18.189375
TIMP1	IPI00032292	COL7A1	IPI00025418	18.189375
CGA	IPI00000833	HSPG2	IPI00024284	18.189375
RAF1	IPI00021786	GAB1	IPI00031068	18.189375
SERPINA5	IPI00007221	C6	IPI00009920	18.189375
RB1	IPI00302829	CCND1	IPI00028098	18.189375
HCK	IPI00029769	TLK1	IPI00339361	18.189375
IGFBP1	IPI00031086	HP	IPI00641737	18.189375
PRKAR1A	IPI00021831	RYR2	IPI00023217	18.189375
POU2F1	IPI00027828	GCN5L2	IPI00306871	18.189375
ETS2	IPI00009756	GCN5L2	IPI00306871	18.189375
NR4A2	IPI00018033	PPARA	IPI00020097	18.189375
SMAD3	IPI00024305	GRLF1	IPI00477498	18.189375
RIN1	IPI00014454	APPL	IPI00015836	18.189375
IL2RB	IPI00027510	STAT5B	IPI00103415	18.1806750488281
SERPING1	IPI00291866	THBS1	IPI00296099	18.0489501953125
BHLHB2	IPI00021143	ASCL1	IPI00032964	17.9842504882813
BHLHB2	IPI00021143	HEY1	IPI00550054	17.9842504882813
CFLAR	IPI00007287	CRADD	IPI00020364	17.9842504882813
SOCS1	IPI00021491	BMX	IPI00514142	17.9842504882813
SOCS1	IPI00021491	LYN	IPI00298625	17.9842504882813
KLK10	IPI00305266	SERPINA1	IPI00553177	17.9842504882813
RIPK2	IPI00021917	CASP2	IPI00291570	17.9842504882813
TCF21	IPI00306587	HAND2	IPI00029953	17.9842504882813
SH2D1A	IPI00032401	ABL1	IPI00216969	17.9842504882813
TNFRSF21	IPI00004413	TNFRSF1A	IPI00018880	17.9842504882813
DEDD	IPI00004539	CARD10	IPI00002313	17.9842504882813
DFFB	IPI00008794	CIDEB	IPI00219215	17.9842504882813
PRSS23	IPI00026941	SERPING1	IPI00291866	17.9842504882813
IL1A	IPI00003096	MYD88	IPI00001062	17.9842504882813
SERPINA5	IPI00007221	CTRB1	IPI00015133	17.9842504882813
OSM	IPI00010336	CNTFR	IPI00003102	17.9842504882813
IL1R1	IPI00027508	TLR5	IPI00656104	17.9842504882813
CD1D	IPI00013435	CD1B	IPI00019849	17.9842504882813
CD1D	IPI00013435	CD1E	IPI00642364	17.9842504882813
TCF4	IPI00013492	ID4	IPI00026864	17.9842504882813
TCF4	IPI00013492	ID3	IPI00219112	17.9842504882813
CTRB1	IPI00015133	SERPINA4	IPI00328609	17.9842504882813
CHRNB4	IPI00028080	CHRNA3	IPI00297165	17.9842504882813
ID1	IPI00012718	TCF15	IPI00010762	17.9842504882813
TNFSF9	IPI00013301	TNFRSF9	IPI00014211	17.9842504882813
ID4	IPI00026864	ASCL1	IPI00032964	17.9842504882813
ID4	IPI00026864	NEUROD1	IPI00299039	17.9842504882813
KCNJ5	IPI00298865	KCNJ3	IPI00010176	17.9842504882813
ID3	IPI00219112	TCF15	IPI00010762	17.9842504882813
ID3	IPI00219112	TWIST1	IPI00018907	17.9842504882813
HES1	IPI00030964	TCF12	IPI00012966	17.9842504882813
ITPR3	IPI00291607	TRPC6	IPI00031683	17.9842504882813
MXD4	IPI00031584	MYOG	IPI00010313	17.9842504882813
KCNV2	IPI00152566	KCNG1	IPI00032434	17.9842504882813
TCF12	IPI00012966	ASCL2	IPI00019112	17.9842504882813
SCAND2	IPI00004927	ZNF222	IPI00007040	17.9842504882813
IL1RAPL1	IPI00431738	TLR6	IPI00294125	17.9842504882813
KCNG1	IPI00032434	SCN8A	IPI00183041	17.9842504882813
TRPC5	IPI00007836	SCN8A	IPI00183041	17.9842504882813
TAL1	IPI00376954	MYOG	IPI00010313	17.9842504882813
CDC7	IPI00448121	SFRS1	IPI00215884	17.9110754394531
CHEK1	IPI00023664	CSNK2A1	IPI00016613	17.9110754394531
XPO1	IPI00298961	OXSR1	IPI00010080	17.9110754394531
TXNL1	IPI00305692	EIF3S8	IPI00016910	17.9110754394531
TK1	IPI00299214	RAN	IPI00643041	17.9110754394531
JUN	IPI00008965	DUSP1	IPI00003928	17.9110754394531
SNRPC	IPI00013396	HDAC2	IPI00289601	17.9110754394531
TPT1	IPI00550900	ACTG1	IPI00021439	17.9110754394531
DDX5	IPI00017617	SMAD2	IPI00019548	17.9110754394531
LIG1	IPI00219841	APEX1	IPI00215911	17.9110754394531
LIG1	IPI00219841	YBX1	IPI00031812	17.9110754394531
LIG1	IPI00219841	CPSF1	IPI00026219	17.9110754394531
LIG1	IPI00219841	CDC6	IPI00014575	17.9110754394531
LIG1	IPI00219841	UBA2	IPI00023234	17.9110754394531
LIG1	IPI00219841	CCNB1	IPI00294696	17.9110754394531
EIF2S2	IPI00021728	SSRP1	IPI00005154	17.9110754394531
EIF2S2	IPI00021728	HDAC2	IPI00289601	17.9110754394531
EIF2S2	IPI00021728	CSNK2A1	IPI00016613	17.9110754394531
EEF1G	IPI00000875	PCBP1	IPI00016610	17.9110754394531
APEX1	IPI00215911	MSH6	IPI00384456	17.9110754394531
APEX1	IPI00215911	HDAC2	IPI00289601	17.9110754394531
YWHAB	IPI00216318	MAP2K1	IPI00219604	17.9110754394531
YWHAB	IPI00216318	DOCK2	IPI00022449	17.9110754394531
WAS	IPI00001545	PCBP1	IPI00016610	17.9110754394531
TMEM1	IPI00298870	SMAD2	IPI00019548	17.9110754394531
ARHGDIB	IPI00003817	ACTG1	IPI00021439	17.9110754394531
MSH6	IPI00384456	YBX1	IPI00031812	17.9110754394531
MSH6	IPI00384456	CDC6	IPI00014575	17.9110754394531
HIRA	IPI00217560	STK11	IPI00219072	17.9110754394531
PSMD4	IPI00022694	TDG	IPI00333201	17.9110754394531
VCP	IPI00022774	PCBP1	IPI00016610	17.9110754394531
ACTR3	IPI00028091	EEF1A1	IPI00025447	17.9110754394531
NOTCH2	IPI00297655	NCSTN	IPI00021983	17.9110754394531
SSRP1	IPI00005154	PPP1R8	IPI00030383	17.9110754394531
SSRP1	IPI00005154	HDAC2	IPI00289601	17.9110754394531
EIF3S2	IPI00012795	PSMD1	IPI00299608	17.9110754394531
ATR	IPI00412298	SMAD2	IPI00019548	17.9110754394531
TDG	IPI00333201	SMAD2	IPI00019548	17.9110754394531
RPS6KA1	IPI00017305	SMAD2	IPI00019548	17.9110754394531
SMAD2	IPI00019548	NUP153	IPI00514528	17.9110754394531
PBK	IPI00306708	CDC6	IPI00014575	17.9110754394531
NPM1	IPI00549248	CCNB1	IPI00294696	17.9110754394531
DIAPH1	IPI00030876	MAPK1	IPI00003479	17.8978747558594
DIAPH1	IPI00030876	SKIIP	IPI00013830	17.8978747558594
EIF5B	IPI00299254	IMPDH2	IPI00291510	17.8978747558594
EIF5B	IPI00299254	RPL3	IPI00550021	17.8978747558594
EIF5B	IPI00299254	EIF2S3	IPI00297982	17.8978747558594
EIF5B	IPI00299254	RPL8	IPI00012772	17.8978747558594
EIF5B	IPI00299254	RPS3	IPI00011253	17.8978747558594
SSB	IPI00009032	H2AFX	IPI00219037	17.8978747558594
LAMR1	IPI00553164	HSPD1	IPI00472102	17.8978747558594
PABPC1	IPI00008524	KLHDC4	IPI00152182	17.8978747558594
PABPC1	IPI00008524	LSM2	IPI00032460	17.8978747558594
IMPDH2	IPI00291510	RPL8	IPI00012772	17.8978747558594
IMPDH2	IPI00291510	EIF3S8	IPI00016910	17.8978747558594
H2AFX	IPI00219037	CSNK2A1	IPI00016613	17.8978747558594
CTPS	IPI00290142	PSMD1	IPI00299608	17.8978747558594
NME2	IPI00026260	RPS3	IPI00011253	17.8978747558594
CAD	IPI00301263	PPID	IPI00003927	17.8978747558594
CAD	IPI00301263	MDN1	IPI00167941	17.8978747558594
COPB2	IPI00220219	CSNK2A1	IPI00016613	17.8978747558594
RPL3	IPI00550021	CD2AP	IPI00412771	17.8978747558594
NOL1	IPI00294891	NOC2L	IPI00411886	17.8978747558594
MSH6	IPI00384456	ATR	IPI00412298	17.8978747558594
NAP1L1	IPI00023860	GTF2B	IPI00022820	17.8978747558594
EIF3S9	IPI00396370	GTF2B	IPI00022820	17.8978747558594
ACTG1	IPI00021439	IEF-SSP-9502	IPI00014298	17.8978747558594
IEF-SSP-9502	IPI00014298	SMC1L1	IPI00291939	17.8978747558594
PSMD1	IPI00299608	PSMD11	IPI00105598	17.8978747558594
CSNK2A1	IPI00016613	SEC31L1	IPI00305152	17.8978747558594
PSMC5	IPI00023919	TAF5	IPI00298925	17.881875
CHTF18	IPI00178203	POLE	IPI00465102	17.881875
TEK	IPI00412829	GRAP	IPI00013864	17.8731994628906
PPP1R12A	IPI00183002	JAK2	IPI00031016	17.8691247558594
XPO1	IPI00298961	MAP2K2	IPI00003783	17.8691247558594
WASPIP	IPI00552369	PTPN12	IPI00289082	17.8691247558594
AKAP8	IPI00014474	MCM3	IPI00013214	17.8691247558594
JAK2	IPI00031016	NFKBIA	IPI00018330	17.8691247558594
JAK2	IPI00031016	HNRPK	IPI00216746	17.8691247558594
JAK2	IPI00031016	USP10	IPI00291946	17.8691247558594
FOS	IPI00033008	DMXL2	IPI00152542	17.8691247558594
NRAS	IPI00000005	PSMC1	IPI00011126	17.8691247558594
SERPINE1	IPI00007118	SPARC	IPI00014572	17.8691247558594
EIF2S2	IPI00021728	TDG	IPI00333201	17.8691247558594
EEF1B2	IPI00178440	DPF2	IPI00023322	17.8691247558594
MCM3	IPI00013214	CPSF1	IPI00026219	17.8691247558594
MCM3	IPI00013214	IEF-SSP-9502	IPI00014298	17.8691247558594
EEF1G	IPI00000875	KLHDC4	IPI00152182	17.8691247558594
EEF1G	IPI00000875	CSNK2A1	IPI00016613	17.8691247558594
MCM4	IPI00018349	HDAC2	IPI00289601	17.8691247558594
PSMC2	IPI00021435	EIF2S3	IPI00297982	17.8691247558594
PSMC2	IPI00021435	STK24	IPI00002212	17.8691247558594
MAP2K2	IPI00003783	COPS3	IPI00025721	17.8691247558594
MLH1	IPI00029754	CRKL	IPI00004839	17.8691247558594
CRKL	IPI00004839	RARS	IPI00004860	17.8691247558594
CRKL	IPI00004839	USP10	IPI00291946	17.8691247558594
MCM2	IPI00184330	HDAC2	IPI00289601	17.8691247558594
IRAK1	IPI00293652	CSPG6	IPI00219420	17.8691247558594
STAT5B	IPI00103415	EP300	IPI00478752	17.8691247558594
BLM	IPI00004859	CSPG6	IPI00219420	17.8691247558594
DSTN	IPI00473014	FER1L3	IPI00021048	17.8691247558594
TIAL1	IPI00005615	BARD1	IPI00017746	17.8691247558594
PKMYT1	IPI00384765	CDC6	IPI00014575	17.8691247558594
CDC6	IPI00014575	SFRS1	IPI00215884	17.8691247558594
TIMP2	IPI00027166	FLT1	IPI00018335	17.8217248535156
YWHAZ	IPI00021263	CBLB	IPI00292856	17.7682995605469
EPHA2	IPI00021267	SHC3	IPI00409679	17.7620495605469
KDR	IPI00021396	GRAP	IPI00013864	17.7620495605469
EPHB3	IPI00289329	GRAP	IPI00013864	17.7620495605469
CCNB2	IPI00028266	TPR	IPI00022970	17.7415747070313
KIAA0788	IPI00420014	PABPC4	IPI00012726	17.7325
BRD2	IPI00014414	H3F3A	IPI00219038	17.7325
GTF2B	IPI00022820	KLF13	IPI00219691	17.7325
ATR	IPI00412298	FNBP1	IPI00102670	17.7325
PTPRF	IPI00107831	EFNA5	IPI00005517	17.7319494628906
LTK	IPI00021365	GRB2	IPI00021327	17.7319494628906
NALP4	IPI00151977	MYD88	IPI00001062	17.7319494628906
ERBB2	IPI00300384	VIL2	IPI00479359	17.7306750488281
HCK	IPI00029769	HIST3H3	IPI00216402	17.7306750488281
VAV1	IPI00011696	TUBA1	IPI00007750	17.7306750488281
NCK1	IPI00028065	HIST3H3	IPI00216402	17.7306750488281
MAPK3	IPI00018195	PTPRZ1	IPI00291099	17.7306750488281
EFNB2	IPI00005126	ERBB4	IPI00016371	17.7306750488281
PSMA5	IPI00291922	MAP2K6	IPI00003814	17.7169995117188
PDPK1	IPI00002538	RPS6KA5	IPI00335101	17.6917248535156
PDPK1	IPI00002538	FYN	IPI00219012	17.6917248535156
