p1,p2,score
YBR023C,YGL203C,0.788296958861137
YHR092C,YLL039C,0.53606884449893
YLL011W,YPL240C,0.797954109819716
YDL006W,YDR162C,0.999961053517652
YER162C,YOR117W,0.660028449502134
YBL007C,YIL002C,0.662650602409639
YER133W,YNL061W,0.852119274942154
YMR072W,YOR304W,0.54847104749512
YHR010W,YKR081C,0.53606884449893
YDR145W,YGL150C,0.53606884449893
YLR350W,YMR296C,0.981770226759279
YBR111W-A,YEL054C,0.764303653422268
YDR130C,YNL069C,0.660028449502134
YDL014W,YDR496C,0.957795592557016
YKL089W,YOR061W,0.820522896585352
YDR479C,YNR075W,0.682167453566882
YJL011C,YNR003C,0.99655625784908
YGR177C,YNL044W,0.682167453566882
YLL028W,YPL265W,0.703072689507346
YDR303C,YIL126W,0.99994620110082
YKL180W,YML063W,0.921706009057121
YHR027C,YPL259C,0.721967550772767
YBL087C,YHR084W,0.53606884449893
YGR103W,YIL070C,0.852119274942154
YBR052C,YIL121W,0.703072689507346
YGR249W,YPL203W,0.613138498489495
YML103C,YOR098C,0.935996436506383
YGR103W,YPL043W,0.991624137291016
YER178W,YIL042C,0.963253568111868
YDR233C,YIR010W,0.53606884449893
YIR010W,YKL182W,0.53606884449893
YDR523C,YLL041C,0.852119274942154
YER127W,YJL141C,0.525804493017608
YGR090W,YKL088W,0.753242918792004
YDL137W,YDR358W,0.900047274062411
YIL035C,YNL132W,0.852119274942154
YAL016W,YFR024C-A,0.635228910294981
YLL045C,YPL211W,0.921706009057121
YBR221C,YIR010W,0.53606884449893
YDR301W,YMR125W,0.53606884449893
YBR154C,YJL011C,0.921706009057121
YGL221C,YML064C,0.870794207942792
YGL100W,YKR082W,0.953675135792518
YDR283C,YGL043W,0.525804493017608
YPL226W,YPR152C,0.53606884449893
YFR027W,YNL290W,0.85890670186545
YMR288W,YOR308C,0.790521651322224
YDL116W,YGL092W,0.999999999349996
YDL140C,YOR267C,0.53606884449893
YLL024C,YOR341W,0.890653121584812
YBR258C,YHR119W,0.999943370799798
YKL049C,YNL233W,0.53606884449893
YGL016W,YOR185C,0.53606884449893
YJL154C,YOR357C,0.660028449502134
YNL006W,YPL180W,0.721967550772767
YDL095W,YFR004W,0.53606884449893
YJL168C,YLR150W,0.579810484329307
YFL048C,YPR181C,0.660028449502134
YLR078C,YOR327C,0.525804493017608
YDR033W,YIR010W,0.53606884449893
YBL002W,YBR089C-A,0.684709476951366
YEL048C,YOR115C,0.975123330903116
YHR216W,YPR152C,0.53606884449893
YGR252W,YLL034C,0.669323604690042
YGR200C,YNL078W,0.852119274942154
YDL140C,YOL018C,0.660028449502134
YER151C,YMR205C,0.753242918792004
YJL080C,YMR059W,0.852119274942154
YDL003W,YGR098C,0.757438396147352
YKR035W-A,YPR173C,0.999838455114656
YCR092C,YDR224C,0.721967550772767
YFR008W,YPR046W,0.822339326140373
YBR189W,YBR247C,0.953679750672903
YGR117C,YPL240C,0.610333975634579
YGR037C,YHL002W,0.635228910294981
YCR030C,YOL016C,0.90906185298167
YLR028C,YNR034W,0.54847104749512
YDR439W,YOL006C,0.53606884449893
YHR107C,YLR314C,0.999999999993694
YCR084C,YLR313C,0.721967550772767
YBR082C,YKL034W,0.912586996242321
YJL178C,YOR069W,0.703072689507346
YDR237W,YDR322W,0.957795592557016
YDR394W,YGR262C,0.721967550772767
YDR237W,YMR225C,0.54847104749512
YOL045W,YPL077C,0.525804493017608
YIR010W,YPL131W,0.53606884449893
YGR112W,YML129C,0.998908899122929
YCR088W,YDR277C,0.576965202814132
YBR247C,YOL010W,0.918403257868933
YKL117W,YLR242C,0.525804493017608
YBL003C,YLR274W,0.890653121584812
YHR007C,YKR003W,0.703072689507346
YDL220C,YPL235W,0.704545454545455
YGL103W,YHR052W,0.836115707810694
YNL006W,YOL126C,0.660028449502134
YDR247W,YLR384C,0.952862168051605
YGL100W,YJL041W,0.53606884449893
YLL026W,YPR080W,0.54847104749512
YGR055W,YOR322C,0.84646446106548
YER125W,YPR139C,0.579810484329307
YGL056C,YGL077C,0.703072689507346
YBR048W,YPL198W,0.921706009057121
YBL030C,YJL166W,0.584984984984985
YFL024C,YPL082C,0.53606884449893
YGL212W,YOL129W,0.786182747552049
YDR382W,YIL133C,0.859922722080967
YDR473C,YOR159C,0.836115707810694
YJL080C,YPL042C,0.852119274942154
YJR064W,YLR196W,0.852119274942154
YLL039C,YPR109W,0.53606884449893
YNL182C,YPL093W,0.935013786595579
YNL031C,YNL206C,0.996996102059504
YJR083C,YLR295C,0.67234615284868
YDR301W,YPR107C,0.9974764049694
YBR274W,YDL042C,0.852119274942154
YER038C,YML023C,0.999981692350922
YDL100C,YOR164C,0.999827102009464
YGR034W,YPL198W,0.54847104749512
YBR181C,YJL177W,0.921706009057121
YDR412W,YEL054C,0.53606884449893
YDR225W,YLR347C,0.948266827400432
YGR020C,YJL141C,0.852119274942154
YDR145W,YNL216W,0.819174921753198
YAL035W,YDR060W,0.753242918792004
YER007C-A,YJR014W,0.999719001859745
YER049W,YLR249W,0.753242918792004
YLR287C-A,YNL207W,0.53606884449893
YHR099W,YLR403W,0.660028449502134
YDL013W,YOR208W,0.721967550772767
YBR136W,YKL085W,0.852119274942154
YDR342C,YKL203C,0.630229419703104
YDL047W,YFR021W,0.852119274942154
YDR143C,YLL024C,0.53606884449893
YFL017W-A,YMR213W,0.669323604690042
YCL034W,YIL148W,0.584984984984985
YAR027W,YJL117W,0.682167453566882
YHR200W,YLR438W,0.53606884449893
YBL034C,YKL088W,0.584984984984985
YGL147C,YHR141C,0.859922722080967
YDL165W,YNR052C,0.995205496895224
YJL026W,YPL012W,0.660028449502134
YBL002W,YBL003C,0.991198145159087
YNR010W,YOL139C,0.852119274942154
YHR027C,YKL211C,0.53606884449893
YLR191W,YNL206C,0.635228910294981
YEL026W,YER172C,0.9951110045733
YDL067C,YGL187C,0.920584571513722
YBR131W,YOR106W,0.630229419703104
YGR129W,YLR117C,0.986434930231544
YDL097C,YGR040W,0.721967550772767
YLR367W,YNL207W,0.902816467645463
YHR099W,YOL012C,0.764303653422268
YBR079C,YOR061W,0.63429211000704
YDR381W,YML065W,0.53606884449893
YIL069C,YJL191W,0.790521651322224
YGR252W,YOL021C,0.669323604690042
YOL041C,YOR287C,0.53606884449893
YGR287C,YJR017C,0.579810484329307
YEL039C,YFR004W,0.53606884449893
YNL090W,YOR089C,0.852119274942154
YDL064W,YDR510W,0.99999094111206
YER151C,YGR162W,0.753242918792004
YIR003W,YLR074C,0.852119274942154
YDR150W,YFL017C,0.54847104749512
YOR117W,YOR303W,0.53606884449893
YHL040C,YLL039C,0.660028449502134
YER157W,YPR105C,0.999416088135919
YAL004W,YGL181W,0.605663741840526
YJL168C,YJR096W,0.579810484329307
YDR188W,YDR212W,0.944975441381652
YJL072C,YPR135W,0.984052514488748
YLR008C,YML054C,0.660028449502134
YDR103W,YGR040W,0.95835397079354
YHR084W,YML065W,0.53606884449893
YKR002W,YNL189W,0.721967550772767
YGL206C,YPL106C,0.943395033266358
YGR128C,YPR137W,0.54847104749512
YKL051W,YLR305C,0.884419344852077
YBL004W,YPL012W,0.96367697831308
YBR122C,YHR147C,0.836115707810694
YAL035W,YER025W,0.957044274783086
YBR048W,YPL217C,0.859922722080967
YCL059C,YJR145C,0.987988834121804
YGR270W,YPR019W,0.53606884449893
YDR440W,YLR442C,0.714859437751004
YHR135C,YKL166C,0.721967550772767
YNL230C,YPL001W,0.852119274942154
YOR096W,YPL012W,0.836115707810694
YBR054W,YGL022W,0.501079807013215
YCR084C,YNL021W,0.943884834791266
YBR072W,YDR507C,0.660028449502134
YBL103C,YNL098C,0.605663741840526
YJL025W,YLR423C,0.682167453566882
YMR236W,YMR246W,0.764303653422268
YJR076C,YML109W,0.846340558019861
YMR140W,YOR351C,0.525804493017608
YDR098C,YGL071W,0.997462484178182
YBR175W,YLR403W,0.852119274942154
YMR005W,YPL129W,0.784767882955442
YLR287C,YLR340W,0.972465825948157
YER006W,YFL002C,0.980420060487739
YDR448W,YGL151W,0.836115707810694
YAL005C,YOL097C,0.890653121584812
YCR063W,YER165W,0.63429211000704
YAL025C,YLR009W,0.53606884449893
YGR233C,YPL031C,0.999999572219795
YBL016W,YDR103W,0.999999999436962
YGR278W,YLL036C,0.969917947622282
YDL007W,YDL097C,0.992577040558528
YDR068W,YLL001W,0.703072689507346
YBL031W,YDR318W,0.660028449502134
YBR036C,YLL039C,0.53606884449893
YMR025W,YNR052C,0.786182747552049
YGL048C,YIL007C,0.937329784901827
YJR022W,YOL140W,0.684036878315825
YDR328C,YHR102W,0.852119274942154
YDR163W,YPL240C,0.610333975634579
YDR240C,YML046W,0.980420060487739
YDR510W,YML069W,0.966052859945974
YKR014C,YOL018C,0.823939570017432
YGR092W,YOL059W,0.53606884449893
YBR031W,YDR447C,0.921706009057121
YHL030W,YPR010C,0.667047013899172
YJL138C,YNL255C,0.53606884449893
YDR471W,YHR027C,0.53606884449893
YGR275W,YHR056C,0.54847104749512
YFR032C-A,YML063W,0.54847104749512
YHR203C,YML056C,0.54847104749512
YDL160C,YIL106W,0.852119274942154
YBR207W,YDL123W,0.703072689507346
YJL044C,YLR262C,0.790235714775655
YDR240C,YGR013W,0.995785768167172
YIR010W,YNL215W,0.53606884449893
YMR106C,YOR302W,0.605663741840526
YDR167W,YDR448W,0.99999999999999
YLL039C,YOR173W,0.53606884449893
YIL061C,YML029W,0.682167453566882
YGL112C,YLR167W,0.669323604690042
YDR301W,YKL059C,0.999719001859745
YGL096W,YJR022W,0.828678278612497
YBR111W-A,YLR055C,0.999189114370597
YLL039C,YOR283W,0.53606884449893
YBR289W,YDR073W,0.998494578896213
YBR181C,YMR194W,0.836115707810694
YHR039C-A,YOR332W,0.99998302679164
YDR404C,YNL251C,0.682167453566882
YAL005C,YDR303C,0.897352273948696
Q0085,YJR121W,0.999554240537125
YGL092W,YMR129W,0.53606884449893
YLR052W,YOR189W,0.53606884449893
YGL112C,YOR310C,0.669323604690042
YGL103W,YJL190C,0.859922722080967
YBR031W,YLR438C-A,0.53606884449893
YMR181C,YPR105C,0.786182747552049
YKL129C,YOR184W,0.635228910294981
YDL222C,YPL058C,0.703072689507346
YLR332W,YPL058C,0.703072689507346
YHR088W,YJR132W,0.525804493017608
YPL070W,YPR119W,0.852119274942154
YBR077C,YKR007W,0.999980742146645
YDR041W,YDR347W,0.957795592557016
YDR171W,YOR007C,0.669323604690042
YCR057C,YGR210C,0.833376047487469
YDR479C,YJL117W,0.682167453566882
YHR027C,YJL167W,0.53606884449893
YER171W,YOR046C,0.660028449502134
YBR261C,YDR032C,0.682167453566882
YER057C,YFR004W,0.53606884449893
YBR011C,YPL066W,0.971175843289377
YIL106W,YMR276W,0.852119274942154
YKL181W,YPL204W,0.525804493017608
YHR152W,YJR105W,0.669323604690042
YGR130C,YMR031C,0.983148618577497
YPL112C,YPR154W,0.786182747552049
YBL011W,YBR002C,0.703072689507346
YGR005C,YHR191C,0.605663741840526
YFL040W,YMR266W,0.501079807013215
YIL037C,YMR059W,0.852119274942154
YGR104C,YOL135C,0.999999593597443
YIL048W,YJL124C,0.684036878315825
YFR032C-A,YOL127W,0.836115707810694
YML063W,YOR234C,0.54847104749512
YKL179C,YPL022W,0.605663741840526
YCR106W,YEL072W,0.682167453566882
YBR160W,YGL075C,0.636806189307279
YGL206C,YLR206W,0.903060320942375
YCR002C,YFL002C,0.53606884449893
YIL061C,YOR308C,0.667047013899172
YEL030W,YNL230C,0.721967550772767
YDR412W,YKR095W,0.53606884449893
YER117W,YNR051C,0.753242918792004
YGL120C,YJR145C,0.921706009057121
YGR090W,YGR145W,0.973739192376162
YBR031W,YHR141C,0.836115707810694
