Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
P5COMP,CYC,KroganExt,1119,408,0.6836461126005362,0.6568627450980392,0.6699868630026862,0.4407866306331873,0.31696910057421934,0.5935188405467404,0.7416666666666667,0.647622558053815,0.6930512707512431,0.6691176470588235,0.2937185597741803
PC2P,CYC,KroganExt,231,408,0.5974025974025974,0.3700980392156863,0.45704885671985523,0.2634378525984431,0.19216544886271372,0.2959148953160992,0.5161458333333333,0.6302040816326531,0.5703307907559908,0.4485294117647059,0.5435779364584581
CUBCO+,CYC,KroganExt,6945,408,0.7930885529157667,0.9240196078431373,0.8535622745234897,0.5995173438973452,0.6329008696407986,0.8506392022553035,0.8890625,0.7024252080014162,0.7902530680033827,0.9411764705882353,0.17214477337553416
ClusterOne,CYC,KroganExt,175,408,0.6857142857142857,0.3137254901960784,0.4304932735426009,0.22994011976047907,0.1703041857198582,0.24093555488899723,0.5265625,0.57180675049636,0.5487184998323271,0.44362745098039214,0.4310470875207454
P5COMP,CYC,BIM,1537,408,0.7091737150292778,0.9362745098039216,0.8070521604800679,0.5925569619892882,0.511619076110008,0.8802230398834029,0.9520833333333333,0.6858186010760953,0.8080572131814259,0.9754901960784313,0.36703550473519087
PC2P,CYC,BIM,243,408,0.7695473251028807,0.5024509803921569,0.6079564827810421,0.35553391530159173,0.28338196803378735,0.4091694885502991,0.8125,0.6041088284286508,0.7005986176822494,0.6421568627450981,0.6205378796663679
CUBCO+,CYC,BIM,6975,408,0.7939784946236559,0.9240196078431373,0.8540774243983377,0.5996443623024041,0.6866012867056098,0.8506392022553035,0.8890625,0.7031731262833676,0.7906736732599021,0.9411764705882353,0.17179096556376516
ClusterOne,CYC,BIM,175,408,0.6457142857142857,0.29901960784313725,0.4087526314228956,0.2189383412077659,0.18657462345346906,0.26445236005864126,0.8614583333333333,0.49466357308584685,0.6527879113703356,0.5735294117647058,0.46270908631029567
P5COMP,SGD,Collins,787,306,0.7179161372299873,0.6274509803921569,0.6696420304079705,0.4272741774440355,0.32679015283997365,0.5841842235299515,0.7260195290063182,0.5637694145758662,0.6397715254983908,0.696078431372549,0.2960629933661489
PC2P,SGD,Collins,153,306,0.7843137254901961,0.45098039215686275,0.5726735138499844,0.32357337553855625,0.28338185009618894,0.3510937852072473,0.5634692705341757,0.5796460176991151,0.5715004101144288,0.5849673202614379,0.6074275159528629
