Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
ClusterOne,CYC,BIM,209,408,0.9521531100478469,0.5955882352941176,0.7327983997454139,0.4234904662756405,0.45504573230498147,0.4497041556733898,0.8359375,0.6864224137931034,0.7574999911090247,0.6862745098039216,0.6460513995886064
P5COMP,SGD,Collins,801,306,0.7116104868913857,0.6241830065359477,0.6650356890880269,0.42482082078566685,0.32109950971887935,0.5836359035865968,0.7254451464675474,0.5671111111111111,0.6414109471028488,0.696078431372549,0.29404514341768734
PC2P,SGD,Collins,168,306,0.8214285714285714,0.5294117647058824,0.6438569206842923,0.3751699139102855,0.3618641126641216,0.4085364313569254,0.5640436530729466,0.6383363471971067,0.6000413028803074,0.6241830065359477,0.6480992304974383
CUBCO+,SGD,Collins,7962,306,0.6841245918111027,0.8300653594771242,0.75006193872268,0.5343775715127994,0.5874924531460853,0.7719295970282206,0.8219414129810454,0.5846966432691639,0.6932433808799986,0.9313725490196079,0.12448909108312078
ClusterOne,SGD,Collins,108,306,0.8981481481481481,0.3790849673202614,0.5331438047855959,0.2796604903751755,0.29760848192679346,0.28374239773713794,0.49511774842044803,0.6179337231968811,0.5531274298950506,0.434640522875817,0.5112005100521464
P5COMP,SGD,Gavin,768,306,0.6380208333333334,0.5294117647058824,0.5786642172943184,0.3632469832379227,0.2575482855275173,0.495397685474055,0.6680068925904652,0.5600405092592593,0.611646074388661,0.6013071895424836,0.25251473489607007
PC2P,SGD,Gavin,141,306,0.8439716312056738,0.4542483660130719,0.5906128934354525,0.32808215442135374,0.3001119708701961,0.3449021635444162,0.49167145318782307,0.6614906832298136,0.5702947356357135,0.5196078431372549,0.5948988897445631
CUBCO+,SGD,Gavin,8041,306,0.6857356050242507,0.8300653594771242,0.7510291717988964,0.5346228406710137,0.5606181147311807,0.7719295970282206,0.8219414129810454,0.584432302151377,0.6930866556369903,0.9313725490196079,0.12386522158658363
ClusterOne,SGD,Gavin,95,306,0.8842105263157894,0.3235294117647059,0.47372468597795436,0.2411745513866232,0.25644459498370614,0.2383956875972761,0.42044801838024126,0.6251378169790518,0.5126772438517163,0.37254901960784315,0.47148652753817727
P5COMP,SGD,KroganCore,781,306,0.7183098591549296,0.6045751633986928,0.6565533558331303,0.4139746613283607,0.27818760296648415,0.5502950808757171,0.697874784606548,0.5545964609408718,0.6221244937491729,0.6666666666666666,0.28301076759836363
PC2P,SGD,KroganCore,164,306,0.8048780487804879,0.4803921568627451,0.6016744186046512,0.3433303253888211,0.2996142035313182,0.3886851423561473,0.5226881102814475,0.6364494806421152,0.5767708178526683,0.5849673202614379,0.6225507550684451
CUBCO+,SGD,KroganCore,8107,306,0.6857037128407549,0.8300653594771242,0.7510100440611112,0.5346179942387904,0.561059072958721,0.7720385294900942,0.8219414129810454,0.5840977764528936,0.6928882678302312,0.9313725490196079,0.12333717452472724
ClusterOne,SGD,KroganCore,108,306,0.8796296296296297,0.3562091503267974,0.5070760491650752,0.26361680732169906,0.25932096437365393,0.2731981230268628,0.462952326249282,0.6217038539553753,0.5364878800371774,0.4215686274509804,0.5010852195782692
P5COMP,SGD,KroganExt,889,306,0.655793025871766,0.6241830065359477,0.6395976990037249,0.4194920082992007,0.26073210649416273,0.5749590687657037,0.7047673750717978,0.5518528049408131,0.6236408042809144,0.696078431372549,0.27390035919469563
PC2P,SGD,KroganExt,172,306,0.8023255813953488,0.5032679738562091,0.6185458990628091,0.35773562038143647,0.311810573319338,0.41059330190560284,0.5491097070649053,0.6423423423423423,0.5938993310646079,0.6078431372549019,0.6337237590755906
CUBCO+,SGD,KroganExt,8176,306,0.6870107632093934,0.8300653594771242,0.751793305029685,0.5348163206323401,0.5660849790718648,0.7720385294900942,0.8219414129810454,0.5830196737940792,0.6922485207452982,0.9313725490196079,0.12277849783472311
ClusterOne,SGD,KroganExt,109,306,0.8899082568807339,0.35947712418300654,0.5120944519101555,0.2660847880299252,0.2694307640913892,0.27462332273637624,0.4658242389431361,0.6211365902293121,0.5379037826817208,0.4215686274509804,0.49912467064675226
P5COMP,SGD,BIM,1134,306,0.6851851851851852,0.8529411764705882,0.759915014164306,0.5463340122199593,0.3886567905625817,0.7995094065607168,0.8954623779437105,0.5755200482363582,0.717883382554582,0.9084967320261438,0.32840773647021493
PC2P,SGD,BIM,216,306,0.9166666666666666,0.7647058823529411,0.8338192419825073,0.5242896425297892,0.6160347347010142,0.6042876785774337,0.8604250430786904,0.6682926829268293,0.7582979364975819,0.8562091503267973,0.7535636617279139
CUBCO+,SGD,BIM,8331,306,0.6880326491417597,0.8333333333333334,0.7537443949136717,0.5366664326007069,0.6348390533406298,0.7730504061630906,0.8242389431361287,0.5833583149772559,0.6934166431565703,0.9313725490196079,0.12157356526210236
ClusterOne,SGD,BIM,172,306,0.9127906976744186,0.6111111111111112,0.7320898685883851,0.4311571589065037,0.5117164458056643,0.47574794008556737,0.816771970132108,0.6510067114093959,0.7291940991581576,0.6928104575163399,0.6460027101713012
