From	To
P35497	sce:YJR159W
Q07786	sce:YDL246C
P19541	sce:YPL133C
P24583	sce:YBL105C
P32334	sce:YGR014W
P32829	sce:YMR224C
P40460	sce:YIL144W
Q12175	sce:YDL154W
P40357	sce:YGR009C
P08153	sce:YDR146C
P52918	sce:YDR335W
Q12277	sce:YDL111C
P39731	sce:YAL034W-A
P32500	sce:YML031W
P40060	sce:YER092W
Q03790	sce:YMR153W
P53271	sce:YGR120C
Q12134	sce:YOR284W
P53044	sce:YGR048W
P32356	sce:YDR001C
P38620	sce:YER099C
P38910	sce:YOR020C
P14907	sce:YJL041W
P48837	sce:YGR119C
Q06568	sce:YLR254C
P25298	sce:YMR061W
Q06410	sce:YLR423C
P25693	sce:YDL127W
P47029	sce:YJL084C
P40038	sce:YER059W
P39108	sce:YDR142C
P50091	sce:YGR239C
Q08966	sce:YPL219W
P39970	sce:YER045C
Q12163	sce:YDR162C
P15380	sce:YOR348C
P50623	sce:YDL064W
Q05024	sce:YMR233W
Q12251	sce:YPR011C
P46983	sce:YJL185C
Q07418	sce:YDL065C
P43619	sce:YFR047C
P43594	sce:YFR011C
P32496	sce:YFR052W
P38254	sce:YBR094W
P38313	sce:YBR211C
P33298	sce:YDR394W
P38204	sce:YBL025W
P32786	sce:YBL014C
P32838	sce:YNR032W
P53043	sce:YGR123C
P38956	sce:YDR073W
Q12206	sce:YOR229W
Q12447	sce:YDR071C
P14908	sce:YMR228W
P09032	sce:YOR260W
P06838	sce:YML095C
P48581	sce:YOR368W
P32628	sce:YEL037C
P61864	sce:YLR167W
P61864	sce:YLL039C
P61864	sce:YIL148W
P61864	sce:YKR094C
P29703	sce:YKL019W
P32485	sce:YLR113W
P38729	sce:YHL042W
P47043	sce:YJL056C
P21190	sce:YJR094C
Q06149	sce:YLR266C
Q03954	sce:YDR201W
Q03981	sce:YDR179C
P05318	sce:YDL081C
P33297	sce:YOR117W
P25378	sce:YCR027C
P53047	sce:YGR213C
P38266	sce:YBR108W
Q03919	sce:YDR139C
Q07589	sce:YDL144C
Q12330	sce:YOR159C
P32566	sce:YGR229C
P43568	sce:YFL029C
P54999	sce:YPR182W
P38149	sce:YBR281C
P11353	sce:YDR044W
P33307	sce:YGL238W
Q02772	sce:YJR034W
P00127	sce:YFR033C
P53270	sce:YGR117C
P12904	sce:YGL115W
Q06479	sce:YLR352W
P49017	sce:YML110C
Q12310	sce:YDL214C
Q03144	sce:YMR095C
P43544	sce:YFL060C
P43545	sce:YFL059W
Q12368	sce:YDL098C
P33757	sce:YBR250W
Q02793	sce:YGL213C
P17123	sce:YHR152W
P23624	sce:YHR014W
Q04921	sce:YDR218C
P06843	sce:YER161C
P38304	sce:YBR193C
Q02821	sce:YNL189W
P28240	sce:YER065C
P53081	sce:YGL221C
P19881	sce:YDL236W
Q05016	sce:YMR226C
P32916	sce:YDR292C
P39015	sce:YLR150W
P37297	sce:YLR305C
Q04175	sce:YDR395W
Q08229	sce:YOL070C
Q01722	sce:YNL199C
P33327	sce:YDL215C
Q12181	sce:YPR048W
P32906	sce:YJR131W
P53824	sce:YNL333W
P40151	sce:YNL218W
P36100	sce:YKL028W
P32776	sce:YDR311W
P14904	sce:YKL103C
P52871	sce:YER019C-A
P36149	sce:YKR068C
Q99395	sce:YPL229W
P38080	sce:YBR059C
Q12059	sce:YPL003W
P39001	sce:YDR207C
P38130	sce:YBR205W
Q06245	sce:YLR166C
Q12241	sce:YOR106W
P32912	sce:YGL212W
P53845	sce:YNL263C
P14359	sce:YJL151C
Q12016	sce:YOL129W
Q08743	sce:YOR292C
P39929	sce:YLR025W
P53112	sce:YGL153W
P22149	sce:YGL071W
P39706	sce:YAR003W
P27637	sce:YAR014C
P25623	sce:YCR030C
P32939	sce:YML001W
P38784	sce:YHR060W
Q03323	sce:YDR469W
P32913	sce:YOR132W
P38753	sce:YHL002W
Q06696	sce:YLR417W
Q03768	sce:YDR152W
Q03920	sce:YDR140W
P02400	sce:YDR382W
P38278	sce:YBR141C
Q12098	sce:YLR135W
P40485	sce:YIL105C
P53924	sce:YNL116W
P25582	sce:YCL054W
P40052	sce:YER079W
P25389	sce:YCL024W
P25349	sce:YCR004C
P38967	sce:YOL020W
P47976	sce:YDR151C
Q12489	sce:YDL012C
P38767	sce:YHR032W
P26321	sce:YPL131W
Q07395	sce:YDL063C
P39977	sce:YEL068C
Q03435	sce:YDL002C
Q02774	sce:YDL212W
P38771	sce:YHR038W
P36103	sce:YKL023W
P53858	sce:YNL233W
P40079	sce:YER127W
P53124	sce:YGL134W
P15108	sce:YMR186W
P43588	sce:YFR004W
Q12199	sce:YPR040W
Q03533	sce:YMR291W
Q03337	sce:YDR472W
P38234	sce:YBR052C
Q03835	sce:YDR098C
P50113	sce:YGL154C
P38624	sce:YJL001W
Q12084	sce:YDR020C
P53277	sce:YGR129W
P32491	sce:YPL140C
P35719	sce:YKL142W
Q02199	sce:YGL172W
P40164	sce:YNL201C
P35203	sce:YMR094W
P21374	sce:YJR050W
Q03973	sce:YDR174W
P46679	sce:YMR053C
P53691	sce:YLR216C
O13329	sce:YDR110W
P52920	sce:YGL091C
P34253	sce:YKL110C
P32564	sce:YGR049W
Q03944	sce:YDR200C
Q05930	sce:YLR368W
Q06096	sce:YPR105C
P38806	sce:YHR090C
P25559	sce:YCL016C
P14164	sce:YKL112W
P11076	sce:YDL192W
P39547	sce:YAR027W
P14693	sce:YHR083W
P38305	sce:YBR194W
P39111	sce:YGR020C
Q00582	sce:YML121W
P53899	sce:YNL155W
P43634	sce:YLR098C
Q06169	sce:YLR324W
Q08492	sce:YOR078W
P25502	sce:YKL015W
Q12342	sce:YDL146W
Q07622	sce:YDL203C
Q12468	sce:YDL216C
Q07732	sce:YDL239C
P38871	sce:YHR184W
Q03406	sce:YDR489W
Q12457	sce:YDR026C
Q12335	sce:YDR032C
Q03900	sce:YDR132C
Q03559	sce:YMR295C
Q12298	sce:YDR061W
P38962	sce:YDR084C
Q04598	sce:YDR115W
Q04491	sce:YLR208W
Q04368	sce:YMR025W
P53917	sce:YNL127W
P36120	sce:YKR024C
P35718	sce:YKL144C
Q05583	sce:YDR267C
Q05635	sce:YDR279W
P89886	sce:YER007C-A
Q04179	sce:YDR400W
Q03375	sce:YDR482C
P53189	sce:YGL028C
P43614	sce:YFR042W
P43615	sce:YFR043C
P53176	sce:YGL051W
P32837	sce:YDL210W
P53074	sce:YGL230C
P53066	sce:YGL242C
P32432	sce:YLR403W
P53210	sce:YGR017W
P53238	sce:YGR058W
P53244	sce:YGR068C
P48239	sce:YGR154C
P53343	sce:YGR294W
P38751	sce:YHL006C
P38725	sce:YHL046C
P47090	sce:YJR015W
P38888	sce:YHR204W
P40554	sce:YIL008W
P40465	sce:YIL132C
P34217	sce:YBL051C
P25637	sce:YCR059C
Q08726	sce:YOR262W
P36097	sce:YKL033W
Q02457	sce:YPL128C
P36144	sce:YKR060W
Q12525	sce:YLL062C
Q12013	sce:YOR034C
P38815	sce:YHR105W
Q12270	sce:YPL246C
P32622	sce:YEL041W
P38823	sce:YHR115C
P38872	sce:YHR185C
P40552	sce:YIL011W
P40515	sce:YIL065C
P32350	sce:YLL019C
Q00772	sce:YHR030C
Q06168	sce:YLR321C
P54861	sce:YLL001W
P28320	sce:YKL095W
Q04477	sce:YMR117C
P53215	sce:YGR024C
P28708	sce:YKL116C
Q06010	sce:YLR389C
Q02205	sce:YKR007W
Q02209	sce:YKR011C
P32788	sce:YBL010C
P35734	sce:YKL052C
Q07887	sce:YLL049W
P43132	sce:YLR015W
Q12142	sce:YDL149W
Q06137	sce:YLR345W
P38796	sce:YHR075C
P18634	sce:YLR392C
P50095	sce:YLR432W
P25351	sce:YCR023C
P42843	sce:YNL311C
P53729	sce:YNR029C
Q12285	sce:YOL111C
P36083	sce:YKL075C
P53935	sce:YNL091W
Q03231	sce:YMR181C
Q12030	sce:YDR167W
P00358	sce:YJR009C
Q04638	sce:YML068W
Q07834	sce:YLL032C
P39008	sce:YNR052C
Q04749	sce:YMR068W
Q04177	sce:YDR398W
Q03649	sce:YMR210W
Q04902	sce:YMR322C
Q12052	sce:YPL157W
P53754	sce:YNR068C
Q08204	sce:YOL034W
P39923	sce:YEL062W
P40325	sce:YGR268C
P50946	sce:YNL099C
P48232	sce:YNL086W
Q08729	sce:YOR264W
Q08817	sce:YOR353C
Q06162	sce:YLR315W
P53933	sce:YNL094W
P35727	sce:YKL061W
P21192	sce:YLR131C
P25611	sce:YCR106W
P53965	sce:YNL032W
P32793	sce:YHR016C
Q06102	sce:YPR107C
P20107	sce:YMR243C
P38194	sce:YBL044W
P00546	sce:YBR160W
Q12434	sce:YDL135C
Q06406	sce:YDR378C
P01123	sce:YFL038C
P38555	sce:YER031C
P36125	sce:YKR030W
P40955	sce:YJL099W
P53311	sce:YGR243W
P38208	sce:YBL018C
P33754	sce:YBR171W
P38334	sce:YBR254C
P36131	sce:YKR037C
P38957	sce:YDR078C
P53108	sce:YGL161C
P25605	sce:YCL009C
Q12082	sce:YDL157C
P50945	sce:YNL100W
P25657	sce:YCR099C
Q12513	sce:YDL110C
P53082	sce:YGL220W
Q03860	sce:YDR100W
P53738	sce:YNR046W
P11747	sce:YML098W
P36973	sce:YDR441C
Q03322	sce:YDR468C
Q04110	sce:YDR446W
P00128	sce:YDR529C
P40092	sce:YER150W
Q92317	sce:YDR397C
P53823	sce:YNL334C
P25357	sce:YCR033W
P38742	sce:YHL023C
P38727	sce:YHL044W
Q02204	sce:YKR006C
Q12223	sce:YDL059C
P53039	sce:YGR172C
P38782	sce:YHR058C
P40314	sce:YDR252W
P40518	sce:YIL062C
P40857	sce:YJL097W
P46962	sce:YJL006C
P25591	sce:YCL063W
P46988	sce:YJL179W
P47150	sce:YJR113C
P35691	sce:YKL056C
Q05874	sce:YLR285W
Q04231	sce:YML011C
Q07914	sce:YLR008C
Q07986	sce:YLR036C
Q99176	sce:YLR119W
P54837	sce:YML012W
P49166	sce:YLR185W
P53910	sce:YNL140C
Q04868	sce:YMR312W
P34166	sce:YNL145W
Q12208	sce:YLR132C
P38713	sce:YHR073W
P40020	sce:YER032W
P32854	sce:YOR036W
Q06651	sce:YDR313C
P53633	sce:YNL044W
P04050	sce:YDL140C
P16370	sce:YIL021W
